Math_S11,Critical Reading_S11,Citizen Competencies_S11,Biology_S11,English_S11,Quantitative Reasoning_PRO,Critical Reading_PRO,Citizen Competencies_PRO,English_PRO,Written Communication_PRO,Formulation of Engineering Projects_PRO,Cluster,Efficient
63,62,57,56,64,90,78,82,47,82,120,0,1
64,65,61,64,78,98,87,87,95,96,161,0,1
60,60,59,67,70,83,85,63,65,62,188,0,1
80,75,61,81,96,97,97,96,100,82,172,0,0
69,67,78,100,62,97,96,100,49,59,187,0,0
60,60,61,61,59,84,79,73,91,87,174,0,1
74,81,61,75,82,88,85,84,98,63,124,0,0
60,60,65,70,75,92,89,87,90,14,186,0,1
69,62,68,73,46,82,97,64,77,64,162,0,1
65,51,51,61,53,94,80,69,68,33,165,0,1
67,67,68,58,75,78,75,78,85,27,169,0,0
77,81,68,66,73,100,59,80,77,51,157,0,0
72,75,68,70,71,89,81,99,97,75,146,0,1
61,67,57,63,44,97,77,88,75,62,165,0,1
71,63,56,72,88,98,83,60,100,79,193,0,1
72,49,59,63,92,96,45,42,97,76,169,0,0
80,67,68,81,80,96,80,83,100,29,188,0,0
73,68,63,72,82,99,91,88,98,81,187,0,1
72,60,65,64,78,100,95,34,99,12,185,0,0
62,62,56,65,71,78,58,70,76,38,173,0,0
72,65,56,66,96,92,84,73,97,90,163,0,1
74,60,57,68,80,100,93,65,91,27,167,0,0
67,62,59,75,88,98,100,89,100,93,153,0,1
72,52,48,61,82,72,91,72,93,71,167,0,1
74,81,83,85,92,83,91,100,100,93,205,0,0
74,62,68,75,88,67,75,78,96,67,185,0,0
53,52,36,49,64,100,99,10,85,71,71,0,1
80,62,59,64,75,100,81,98,87,80,179,0,1
74,55,66,64,80,84,81,88,98,54,168,0,1
61,60,59,55,76,92,85,23,95,95,118,0,1
63,75,53,75,88,93,98,93,98,76,125,0,1
83,81,68,81,82,100,86,100,98,98,167,0,0
67,62,45,64,70,90,51,68,90,88,155,0,1
77,75,61,81,100,95,98,97,100,34,155,0,0
71,67,64,68,88,91,97,93,96,86,162,0,1
83,65,76,85,92,91,93,88,97,78,181,0,0
67,75,72,78,96,99,66,97,100,80,174,0,0
74,64,59,75,96,95,70,1,99,96,79,0,0
65,62,57,63,82,99,85,95,96,64,164,0,1
83,75,61,70,92,98,90,20,92,85,68,0,0
77,75,72,75,88,83,99,100,98,86,201,0,1
67,62,57,75,82,98,95,71,94,36,136,0,0
69,65,68,78,85,93,78,1,96,96,168,0,0
80,81,78,100,96,98,89,62,100,41,177,0,0
67,60,74,64,82,88,77,78,92,32,175,0,0
83,71,66,72,88,100,99,94,100,60,178,0,0
80,55,47,72,85,84,59,82,98,29,139,0,0
60,67,56,75,85,87,93,81,95,98,153,0,1
65,56,48,66,80,75,76,12,97,77,135,0,0
72,71,61,68,100,100,80,95,98,98,165,0,1
80,51,59,68,96,87,61,40,97,79,179,0,0
74,60,64,71,76,100,81,11,93,83,174,0,0
80,64,55,63,58,98,95,28,83,19,188,0,0
78,68,56,82,64,77,57,70,79,100,138,0,0
62,62,68,60,52,75,71,61,67,94,126,0,1
83,75,72,78,92,100,97,94,99,96,172,0,0
65,58,68,61,71,100,87,90,83,66,66,0,1
60,47,48,58,76,71,73,57,77,56,168,0,1
72,62,50,70,88,75,22,32,97,65,65,0,0
65,54,65,68,82,69,98,98,97,95,162,0,1
69,56,56,74,92,99,98,99,98,39,182,0,1
69,68,65,68,96,99,82,59,100,54,54,0,0
63,60,59,78,67,80,32,65,73,77,166,0,0
80,75,74,91,88,92,88,94,96,70,176,0,0
76,60,66,70,96,99,93,100,100,67,168,0,1
83,71,65,78,76,99,98,78,99,18,181,0,0
69,68,60,76,92,99,79,40,98,79,156,0,0
65,71,66,81,73,98,92,85,94,83,193,0,1
58,57,57,68,50,83,50,74,75,73,189,0,1
72,65,56,68,80,76,31,64,86,47,144,0,0
74,67,53,63,62,99,74,99,86,88,88,0,1
62,71,68,68,62,97,94,89,85,3,152,0,0
88,67,61,73,82,98,74,35,100,59,145,0,0
56,57,57,60,59,89,94,82,61,73,197,0,1
58,64,61,62,64,86,69,40,76,88,159,0,1
79,69,69,80,82,93,90,97,99,21,222,0,0
68,67,69,67,55,93,91,25,81,31,136,0,0
74,57,61,70,49,97,71,91,61,24,183,0,1
71,60,57,55,53,99,63,26,79,100,161,0,1
91,64,72,81,73,99,49,53,94,70,148,0,0
62,67,72,64,60,88,86,61,74,87,175,0,1
77,72,77,81,60,99,80,89,87,1,123,0,0
62,52,53,65,58,96,83,85,37,93,154,0,1
72,62,62,72,62,93,96,82,75,62,153,0,1
76,64,62,61,45,94,70,76,36,50,152,0,0
68,60,62,61,80,99,92,54,95,89,155,0,1
78,57,69,78,76,90,79,61,92,11,170,0,0
75,74,77,74,67,97,18,30,84,45,201,0,0
62,69,53,72,53,95,50,76,55,54,157,0,1
64,56,74,65,67,99,94,88,91,100,190,0,1
67,64,68,66,67,74,46,87,81,18,154,0,0
61,67,57,64,50,95,62,82,53,94,186,0,1
75,64,62,65,78,98,86,23,98,44,198,0,0
74,74,72,70,65,89,96,88,91,42,174,0,1
79,58,62,67,55,93,97,93,88,0,200,0,1
79,67,64,60,76,96,100,82,98,48,200,0,1
59,52,53,62,53,97,79,74,67,13,144,0,1
62,60,57,70,80,58,33,57,92,59,175,0,0
79,87,72,71,62,98,91,95,81,48,169,0,0
64,57,46,61,54,93,83,64,67,69,152,0,1
69,62,66,67,55,100,48,75,78,84,154,0,1
69,70,66,67,70,95,89,39,88,42,141,0,0
58,57,57,66,70,99,97,78,90,43,165,0,1
84,70,72,79,80,95,89,97,92,7,191,0,0
66,66,74,61,67,64,32,83,85,97,167,0,0
78,68,72,81,78,65,23,33,88,91,90,0,0
80,57,60,74,60,68,78,88,87,84,142,0,1
70,62,59,64,59,82,82,5,62,91,138,0,0
64,69,65,75,67,94,1,85,93,92,139,0,0
72,74,68,70,59,84,100,73,86,57,218,0,1
71,70,59,72,71,49,91,100,85,21,165,0,0
68,64,74,80,80,95,83,86,89,58,199,0,1
93,70,66,82,85,99,85,98,89,82,153,0,0
62,52,59,66,54,86,70,89,68,90,148,0,1
74,64,57,70,68,97,45,87,89,50,189,0,1
72,76,69,70,76,100,86,85,90,16,168,0,0
85,87,82,82,82,97,96,92,95,58,183,0,0
70,62,64,72,73,93,91,86,83,84,198,0,1
74,64,61,68,71,92,84,24,63,60,161,0,0
74,68,66,75,64,67,49,19,86,24,136,0,0
85,79,66,77,62,99,95,35,93,8,159,0,0
59,64,65,65,64,79,68,75,73,78,181,0,1
62,77,64,66,85,77,50,57,99,12,143,0,0
86,85,72,81,90,100,99,100,100,41,105,0,0
100,79,76,92,76,95,96,94,95,94,214,0,0
85,70,64,77,82,99,95,90,96,52,150,0,0
62,62,71,71,65,88,94,91,80,94,210,0,1
70,74,66,64,70,75,88,86,83,53,170,0,1
62,69,59,60,62,82,78,52,87,28,177,0,1
77,70,64,70,80,100,84,71,92,57,210,0,1
75,59,59,85,52,99,51,20,44,48,181,0,0
66,67,66,67,62,98,68,72,96,10,175,0,0
76,70,71,83,90,90,100,74,98,67,113,0,0
66,67,68,64,75,82,74,11,90,92,62,0,0
67,54,53,71,78,98,99,13,91,51,151,0,0
70,64,68,71,73,76,67,91,96,92,180,0,1
84,74,76,77,70,90,92,46,80,17,183,0,0
64,64,68,80,75,89,51,47,84,71,100,0,0
72,68,100,100,78,94,89,80,100,57,172,0,0
62,77,69,75,43,96,77,96,68,19,179,0,0
85,74,71,77,75,96,93,88,75,82,186,0,0
72,62,58,64,60,89,88,31,86,46,165,0,0
57,70,66,65,55,91,86,93,72,55,177,0,1
64,67,69,70,50,94,74,88,57,8,181,0,0
67,50,55,65,57,98,82,64,85,51,169,0,1
74,77,71,81,55,100,100,97,34,57,208,0,0
69,74,71,68,49,93,56,78,80,60,60,0,0
58,60,59,58,50,82,92,91,40,59,190,0,1
65,68,66,68,58,79,88,97,77,57,182,0,1
67,62,64,66,62,77,22,60,65,82,136,0,0
47,67,68,58,65,30,97,89,85,93,168,0,1
83,87,71,87,90,97,79,83,97,80,220,0,0
70,72,62,71,64,87,77,65,74,50,128,0,0
66,64,64,74,60,98,92,94,40,50,164,0,1
68,70,64,71,78,82,94,45,88,19,159,0,0
70,64,57,61,53,99,58,71,60,28,155,0,0
82,77,71,91,80,98,99,90,81,15,180,0,0
72,68,66,61,57,89,46,80,40,57,191,0,0
66,47,55,62,67,69,66,61,82,97,182,0,1
93,79,74,92,80,91,49,78,93,74,157,0,0
75,74,62,77,64,89,4,26,88,66,166,0,0
75,62,61,66,65,95,34,78,86,72,149,0,0
64,74,66,65,82,83,56,87,93,14,172,0,0
60,59,61,65,62,96,77,76,92,77,161,0,1
66,64,69,65,48,62,62,84,59,56,140,0,0
62,79,69,65,78,98,89,93,87,97,214,0,1
66,57,69,65,58,97,68,69,84,95,191,0,1
74,64,64,74,78,100,90,62,96,77,123,0,1
62,66,74,65,67,92,99,96,82,69,161,0,1
87,68,62,78,68,100,89,10,89,79,107,0,0
55,68,81,61,71,90,72,69,78,50,157,0,0
56,67,69,59,50,90,79,87,73,21,164,0,1
96,59,69,91,64,96,71,15,52,50,152,0,0
65,64,65,71,68,93,40,81,77,32,171,0,0
53,85,66,65,68,77,86,92,90,21,161,0,0
59,57,64,61,57,85,84,87,76,68,139,0,1
62,51,57,61,52,89,63,97,56,14,179,0,1
68,52,61,71,55,100,4,82,65,59,125,0,0
59,62,68,62,52,62,93,53,72,96,139,0,1
83,100,77,80,75,94,87,91,96,73,183,0,0
75,70,66,67,82,73,62,54,98,23,179,0,0
100,79,77,79,73,98,100,95,89,18,214,0,0
79,87,81,80,78,100,99,100,98,66,215,0,0
60,64,59,68,58,91,98,91,53,15,182,0,1
77,62,61,74,53,88,88,65,71,66,177,0,1
61,67,60,52,75,76,92,52,86,8,166,0,0
68,58,66,65,59,94,98,37,83,73,161,0,1
79,64,72,72,62,98,82,90,74,65,162,0,1
74,64,59,82,54,99,96,84,66,9,188,0,0
62,62,72,72,71,63,78,78,79,59,147,0,0
56,57,60,78,57,86,85,80,10,74,72,0,0
69,55,55,62,48,86,68,68,71,54,129,0,1
59,62,57,50,57,100,87,90,51,12,169,0,1
69,66,69,70,63,79,98,79,58,86,169,0,1
68,74,57,72,52,94,90,71,60,25,171,0,0
72,70,72,69,73,69,71,87,85,37,165,0,0
77,72,66,81,62,99,44,63,94,81,142,0,0
73,87,68,72,78,96,91,88,97,18,191,0,0
78,79,62,78,75,90,62,37,86,3,151,0,0
57,62,66,60,64,98,66,88,38,90,201,0,1
66,70,68,65,64,67,93,85,83,39,181,0,1
61,64,68,68,57,75,18,54,74,74,155,0,0
62,66,74,65,63,93,91,80,74,91,153,0,1
100,57,66,81,42,100,43,83,56,44,192,0,0
70,77,81,73,60,96,79,37,74,36,144,0,0
77,70,89,69,45,98,48,90,72,48,210,0,0
70,58,50,69,54,100,66,56,50,54,93,0,0
85,72,62,92,70,100,88,93,93,54,214,0,0
74,68,66,63,48,81,69,73,23,81,73,0,0
87,68,62,78,82,98,88,96,98,69,197,0,1
84,64,66,77,65,99,100,68,90,69,221,0,1
72,52,53,69,50,96,64,83,23,79,173,0,1
75,57,58,65,48,95,76,90,77,51,175,0,1
68,62,57,64,57,75,55,55,57,68,124,0,0
59,62,64,55,54,85,56,99,69,89,178,0,1
55,64,58,57,57,87,67,62,68,85,136,0,1
99,71,69,91,82,81,86,96,96,19,135,0,0
66,62,61,67,48,86,83,74,16,68,170,0,1
70,85,72,75,59,90,70,96,73,24,24,0,0
62,52,53,58,65,91,54,66,73,66,124,0,1
85,74,90,92,60,97,99,100,89,15,100,0,0
72,64,69,73,57,98,83,98,36,79,98,0,0
78,71,61,75,68,98,83,90,89,91,168,0,1
59,59,55,61,53,92,65,56,72,96,96,0,1
62,57,55,58,55,73,65,86,76,51,154,0,1
65,68,66,68,53,66,86,83,68,61,169,0,1
64,47,48,52,57,96,35,91,76,44,135,0,1
70,59,64,75,54,97,92,96,80,23,120,0,1
62,47,65,60,50,91,73,72,69,63,119,0,1
75,74,74,86,78,88,74,89,95,63,81,0,0
62,62,58,61,52,80,71,92,61,9,156,0,0
77,64,60,75,53,97,35,11,71,81,66,0,0
80,57,57,79,55,97,83,83,81,9,212,0,0
62,67,64,74,76,84,73,72,96,57,163,0,1
59,58,58,60,64,73,91,85,87,57,180,0,1
62,62,69,69,60,81,91,95,79,8,182,0,1
70,62,59,68,57,89,77,56,53,39,149,0,0
70,54,53,75,53,77,52,84,66,32,157,0,0
59,57,60,56,49,82,59,68,60,80,163,0,1
66,67,62,62,57,60,81,88,68,100,165,0,1
64,56,60,65,57,92,9,80,64,91,165,0,1
66,58,69,69,55,100,74,88,41,66,177,0,1
74,64,59,70,59,84,50,63,77,24,100,0,0
60,57,61,58,68,73,59,95,89,86,177,0,1
69,62,64,68,70,91,38,69,90,5,154,0,0
82,74,74,78,65,98,62,72,92,15,156,0,0
59,57,69,58,68,86,92,86,69,47,170,0,1
58,67,61,67,53,97,72,79,5,60,194,0,0
77,67,66,72,64,99,96,92,75,100,174,0,1
70,68,64,73,68,93,77,55,83,84,166,0,1
58,62,69,65,54,87,84,61,81,64,160,0,1
58,64,64,68,78,88,76,86,88,79,117,0,1
64,72,96,71,78,97,84,64,88,52,170,0,0
60,68,66,73,67,89,56,70,62,30,179,0,0
59,64,64,61,60,84,84,69,76,35,174,0,1
62,57,59,73,67,94,94,45,71,95,178,0,1
60,60,57,55,55,76,37,73,86,77,132,0,1
85,64,66,74,59,95,82,91,90,56,90,0,0
70,64,64,78,60,95,96,93,79,83,179,0,1
93,70,74,82,80,97,76,97,96,47,162,0,0
69,81,96,68,76,100,100,99,97,97,199,0,1
73,67,71,72,78,79,92,87,94,44,197,0,0
62,57,58,66,64,75,67,78,84,50,143,0,1
59,54,53,61,54,100,90,70,63,29,114,0,1
70,67,69,67,62,84,94,90,67,71,170,0,1
64,53,61,62,49,89,67,86,81,41,170,0,1
60,62,59,66,65,83,68,58,86,6,164,0,0
68,70,74,71,71,98,90,96,89,24,178,0,0
59,57,62,48,44,93,91,57,84,93,179,0,1
62,64,62,63,75,88,60,75,93,91,152,0,1
57,58,55,55,57,92,57,54,63,79,162,0,1
76,62,62,75,71,100,92,3,93,62,93,0,0
68,58,62,65,52,82,49,46,78,67,67,0,0
70,72,68,75,68,89,72,43,66,86,113,0,0
68,67,72,83,71,100,98,95,99,77,197,0,1
54,70,69,58,64,28,65,79,77,75,189,0,0
57,54,69,55,58,67,75,54,79,71,163,0,1
71,79,96,75,90,94,99,64,94,79,177,0,0
52,54,62,55,54,99,63,81,75,55,123,0,1
68,79,77,75,71,96,92,96,99,91,156,0,1
56,68,66,65,76,89,68,92,97,86,186,0,1
55,59,61,58,46,77,85,82,63,42,195,0,1
74,59,62,73,67,72,29,75,73,96,189,0,0
59,67,66,62,80,89,82,92,87,37,183,0,1
65,54,62,59,58,46,65,72,77,93,116,0,1
92,74,81,87,95,100,98,100,96,20,155,0,0
59,70,82,59,64,83,83,61,93,81,172,0,1
59,67,77,55,54,58,73,82,81,88,131,0,1
59,67,68,64,59,91,82,82,67,30,161,0,1
64,66,69,65,82,96,51,12,84,43,157,0,0
59,59,62,61,59,94,87,69,77,85,162,0,1
64,50,59,61,54,94,61,79,80,27,147,0,1
84,67,66,88,52,83,94,97,72,60,145,0,0
69,51,57,68,55,98,67,72,88,6,132,0,0
57,62,60,56,65,68,78,76,79,12,151,0,0
66,67,60,69,64,81,76,73,35,58,169,0,0
62,68,68,73,49,99,37,86,30,43,159,0,0
48,51,56,58,55,68,80,72,73,86,148,0,1
72,62,53,69,82,100,78,79,95,13,151,0,0
60,53,64,64,52,92,96,71,65,22,160,0,1
74,74,69,71,67,80,86,23,81,26,187,0,0
73,67,71,70,57,83,79,83,89,34,174,0,0
64,70,68,62,59,92,70,79,85,82,195,0,1
64,60,66,61,82,92,85,86,100,86,186,0,1
71,57,66,65,65,100,97,11,62,50,163,0,0
74,60,66,70,59,88,59,80,71,82,189,0,1
68,50,52,50,55,99,87,65,78,88,159,0,1
47,64,65,57,60,56,40,77,74,88,88,0,1
64,62,59,62,71,92,30,89,77,79,166,0,1
58,54,57,60,46,86,55,57,91,68,152,0,1
61,62,60,56,57,94,70,78,60,73,73,0,1
83,56,64,80,60,100,85,81,79,84,187,0,1
65,68,60,65,73,91,77,59,75,14,59,0,0
69,64,81,68,75,99,96,91,100,70,91,0,1
74,62,64,85,71,99,92,90,90,94,185,0,1
55,62,66,58,75,91,87,93,95,56,178,0,1
70,56,59,58,62,97,80,90,82,75,75,0,1
61,56,53,57,60,94,58,70,61,91,91,0,1
78,62,69,75,53,69,92,57,71,40,169,0,0
59,62,57,60,52,85,86,78,67,67,151,0,1
70,68,66,68,67,83,64,19,83,55,19,0,0
66,60,62,67,80,94,76,56,93,33,93,0,0
62,55,55,72,57,52,78,82,81,91,158,0,1
59,48,49,53,49,98,73,15,75,92,115,0,1
62,62,68,65,55,94,93,94,59,51,157,0,1
83,76,62,75,78,100,95,61,91,35,156,0,0
74,57,58,66,70,84,73,46,90,38,181,0,0
83,60,69,72,59,100,86,90,76,73,193,0,1
77,72,68,91,58,100,100,99,79,80,147,0,1
81,68,76,100,62,95,88,80,33,76,162,0,0
65,71,69,63,65,62,39,35,88,79,149,0,0
85,64,65,64,73,93,88,86,94,63,181,0,1
72,87,76,75,82,85,35,94,83,79,163,0,0
80,74,76,92,85,96,87,94,98,12,177,0,0
56,70,76,68,57,83,85,13,41,98,207,0,0
70,74,76,83,78,96,81,70,96,26,101,0,0
61,62,62,64,68,64,83,75,91,93,157,0,1
60,79,61,54,60,79,65,71,82,77,77,0,1
69,69,65,67,63,79,69,73,40,69,180,0,0
59,72,69,65,70,91,69,72,83,97,163,0,1
65,72,68,78,68,89,74,79,89,86,164,0,1
74,70,69,80,62,97,71,89,92,99,176,0,1
70,64,68,72,52,89,74,84,61,33,161,0,0
50,64,66,63,80,76,32,92,85,42,103,0,0
67,72,62,71,64,99,99,81,86,55,151,0,1
50,68,55,58,50,89,81,83,27,65,173,0,1
62,62,64,78,46,91,66,91,83,45,155,0,1
59,64,68,65,67,91,70,88,68,65,197,0,1
78,85,81,81,73,95,91,91,90,58,223,0,0
72,66,96,72,53,83,90,96,62,99,158,0,1
68,79,56,63,82,68,73,80,88,19,165,0,0
57,57,57,67,48,92,89,88,40,38,88,0,1
70,87,77,87,82,99,28,4,90,96,190,0,0
75,71,69,75,70,81,71,83,91,71,174,0,0
55,62,64,58,48,83,88,82,25,93,138,0,1
58,51,55,62,73,73,57,88,83,73,87,0,1
66,67,74,82,64,98,88,85,77,0,203,0,0
80,89,69,77,64,92,51,55,55,71,85,0,0
80,51,57,68,48,96,94,99,64,81,180,0,1
60,64,64,62,50,93,79,95,35,24,156,0,1
79,70,68,80,78,93,63,81,98,90,176,0,0
51,59,59,55,50,87,18,87,59,97,170,0,1
74,55,55,64,60,99,84,52,70,12,160,0,0
85,79,77,82,78,97,99,99,95,95,155,0,0
78,62,57,66,60,97,91,75,89,47,168,0,1
70,60,68,71,48,88,73,62,78,89,170,0,1
60,55,51,59,50,89,76,76,47,74,153,0,1
59,59,64,68,53,97,83,73,42,38,86,0,0
53,51,51,54,57,76,61,75,84,28,223,0,1
68,60,62,65,76,58,83,81,96,75,195,0,1
60,74,72,65,62,78,90,82,72,7,181,0,0
59,64,69,71,67,72,87,90,91,99,99,0,1
58,67,66,60,76,90,89,1,89,72,124,0,0
62,68,62,61,50,68,81,82,71,76,188,0,1
56,68,77,63,73,94,84,89,93,89,193,0,1
60,64,61,61,64,79,87,39,60,70,148,0,1
74,59,51,71,71,97,87,33,91,100,132,0,1
79,64,62,69,60,99,76,91,72,46,184,0,1
77,68,64,81,73,90,82,97,97,81,184,0,1
64,48,53,67,58,96,78,85,74,37,199,0,1
64,74,64,72,52,97,98,60,63,91,186,0,1
64,57,66,72,73,94,92,82,90,24,197,0,1
65,62,58,66,71,93,15,11,91,67,128,0,0
57,60,60,62,65,82,100,66,67,21,176,0,1
72,71,57,71,76,100,95,93,97,90,185,0,1
72,62,66,72,49,95,87,90,40,78,194,0,1
53,52,57,48,54,85,78,55,87,76,163,0,1
69,64,53,65,59,89,65,76,48,81,158,0,1
66,67,68,61,53,99,86,57,58,38,181,0,1
89,72,74,80,76,100,95,96,92,96,216,0,1
59,66,65,56,80,59,76,90,96,50,159,0,1
62,67,64,68,50,86,48,74,64,56,153,0,1
65,64,61,81,60,87,82,42,73,19,98,0,0
65,62,64,71,46,89,50,75,75,81,150,0,1
68,56,62,67,64,97,68,28,45,100,169,0,0
83,60,59,80,67,87,85,81,72,58,150,0,0
53,62,66,73,67,99,87,85,95,20,153,0,1
60,77,72,66,62,84,88,93,69,14,174,0,0
85,60,66,82,60,99,79,100,92,90,174,0,1
51,64,59,64,68,60,80,57,59,85,144,0,1
64,64,66,61,50,73,53,72,53,69,170,0,1
72,64,64,73,57,100,71,90,77,73,184,0,1
77,79,66,72,100,96,99,89,91,64,91,0,0
77,67,66,80,82,96,74,56,91,77,77,0,0
54,53,59,67,62,70,84,95,86,70,161,0,1
94,72,69,79,75,96,90,77,86,90,209,0,0
58,59,64,63,52,89,75,75,49,38,186,0,1
60,79,72,67,58,72,74,43,74,38,184,0,0
84,74,81,79,82,98,97,95,97,61,208,0,0
61,62,66,72,59,98,89,76,25,91,160,0,1
77,87,76,82,76,95,70,66,84,14,154,0,0
64,60,71,59,60,77,63,82,73,53,147,0,1
62,60,64,71,76,90,59,33,91,32,167,0,0
66,56,65,67,63,76,86,89,72,10,179,0,0
66,62,62,74,82,100,94,77,97,79,102,0,1
66,64,69,67,60,89,100,90,98,74,74,0,1
62,57,60,65,64,94,87,69,84,84,177,0,1
57,52,65,54,63,78,68,92,80,44,178,0,1
62,67,72,75,71,55,68,79,89,45,192,0,0
77,57,66,68,57,93,43,64,47,82,140,0,0
85,62,66,74,60,92,90,98,96,61,172,0,1
71,74,56,68,55,86,65,61,23,56,153,0,0
64,67,74,69,70,62,51,57,76,97,57,0,0
79,62,64,72,52,97,62,79,31,3,159,0,0
76,72,56,75,68,93,66,90,95,70,174,0,1
62,57,52,68,59,99,44,55,94,25,130,0,0
67,68,64,65,71,88,71,79,80,68,180,0,1
66,69,71,62,76,79,96,95,85,90,185,0,1
51,49,51,60,58,47,55,86,81,92,138,0,1
72,58,69,74,85,90,86,90,98,20,174,0,0
70,68,61,78,50,100,98,35,75,97,184,0,1
62,79,89,69,80,95,91,76,100,95,210,0,1
61,55,60,59,65,61,62,70,75,84,140,0,1
77,62,62,71,80,96,16,91,97,47,100,0,0
66,70,66,77,70,95,51,95,87,38,200,0,0
98,79,66,77,80,97,83,85,91,78,177,0,0
73,56,68,77,80,98,94,72,96,78,173,0,1
61,64,62,65,85,84,76,41,90,89,150,0,0
70,60,58,72,68,93,85,72,89,87,158,0,1
69,67,66,74,73,99,89,91,83,42,152,0,1
93,74,77,79,80,100,94,48,97,70,183,0,0
71,62,59,55,62,94,65,53,57,75,169,0,1
72,74,76,80,82,96,94,96,99,48,199,0,0
64,54,52,71,58,84,80,67,84,17,166,0,1
58,59,59,66,64,81,80,94,91,14,188,0,1
66,79,74,62,75,87,94,83,91,40,170,0,0
64,66,69,72,70,86,88,97,89,78,190,0,1
66,62,57,67,68,95,67,82,87,88,187,0,1
74,62,55,64,57,89,39,44,82,79,104,0,0
72,64,64,64,65,93,96,96,90,70,166,0,1
79,79,90,87,78,100,69,85,94,80,180,0,0
73,76,74,72,78,95,88,93,99,54,179,0,0
64,67,69,62,58,65,48,55,79,79,139,0,0
62,57,66,67,75,79,89,76,90,62,131,0,1
62,60,65,71,50,73,93,65,58,93,176,0,1
62,50,53,66,45,100,71,57,66,73,175,0,1
82,64,64,81,76,100,83,68,95,29,190,0,0
100,100,90,83,95,100,96,96,99,100,209,0,0
62,64,61,71,67,93,59,38,74,31,178,0,0
69,64,72,68,82,95,87,92,93,4,184,0,0
61,64,68,55,65,95,73,27,93,36,166,0,0
79,60,68,75,68,100,95,77,80,92,195,0,1
56,53,53,50,62,90,15,39,86,99,169,0,1
70,62,66,71,78,84,66,91,86,57,100,0,0
85,64,71,68,75,100,78,92,79,96,180,0,1
80,100,89,74,70,86,84,99,91,51,169,0,0
75,70,74,79,70,94,89,5,96,42,76,0,0
57,58,59,65,76,97,83,92,81,97,187,0,1
60,76,69,61,65,68,99,99,88,82,82,0,1
75,70,68,59,49,88,92,84,52,23,175,0,0
70,62,72,61,80,89,62,90,99,88,218,0,1
72,62,48,64,73,88,87,88,94,33,161,0,1
79,70,64,77,82,85,95,68,96,81,185,0,0
64,60,53,62,82,92,1,63,97,46,194,0,0
64,64,64,75,60,57,92,99,86,7,177,0,0
70,70,59,69,64,98,88,93,85,97,207,0,1
74,64,72,65,78,91,86,90,92,94,175,0,1
58,74,57,58,70,87,95,61,95,11,154,0,0
70,62,76,85,53,100,94,37,86,0,199,0,0
64,62,69,68,95,94,83,88,93,90,200,0,1
70,62,69,75,64,92,89,93,90,60,212,0,1
82,98,68,81,58,96,79,91,86,69,199,0,0
77,64,66,78,85,98,87,95,99,0,170,0,0
64,56,68,61,49,100,95,96,57,61,174,0,1
64,67,62,71,80,99,75,46,93,35,172,0,0
72,55,60,67,58,99,52,64,60,18,186,0,0
68,54,65,64,67,95,82,39,68,64,162,0,1
70,68,72,66,73,98,74,54,90,99,186,0,1
55,56,59,45,55,99,100,33,89,90,171,0,1
62,70,72,65,70,100,96,95,89,92,184,0,1
86,68,76,91,80,100,96,98,97,83,149,0,0
84,74,66,77,78,98,74,7,91,0,180,0,0
97,79,71,77,76,98,89,91,92,22,203,0,0
62,59,62,61,78,79,37,40,94,59,140,0,0
